texto,nombre,probabilidad_mujer_hispanohablante
chejo058,chejo058,0
disbrowmikey,Mikey Disbrow,0
bmfaustino,Faustino Bonachera,0
mmindizzle,mindz,0
lsoareslopesdasilva,lsoareslopesdasilva@gmail.com,0
gopromania93,Francesco,0
aussietverk,Kris Moskov,0
2wolfband2024,andres,0
beardmaninheels,A N I R U D H,0
dan.crowther.923,Dan Crowther,0
fireeagle007,piet kerk,0
badstefis,stefan agerskov,0
raulrojas932,Raul Rojas,0
notawineexpert,James Bale,0
mick_nudoz,Mick Nudoz,0
joabmendez,Joab Mendez,0
drajjeto,dragomir,0
urielessssss,Uriely D. Junior,0
mcculloughc5542023,sin_nombre,0
red89000ytb,Alan Omer Bouden,0
potti4668,potti,0
balamfeliz,balam martínez,0
thresherfan9,ThresherFan,0
aaron.dixon.5454021,Aaron Dixon,0
vin_d_age,vin d' age,0
blackboypablo24,Peter Ferguson,0
djtanos,marcus esteban,0
toro_.2,Ebil Sosa Valera,0
